70 0.014 51.03 0.002
80 0.020 51.05 0.002
90 0.026 51.06 0.002
110 0.045 51.09 0.002
120 0.056 51.12 0.002
130 0.071 51.14 0.002
140 0.089 51.16 0.002
160 0.134 51.22 0.003
170 0.162 51.24 0.003
190 0.244 51.31 0.003
100 0.034 51.08 0.002
150 0.109 51.19 0.002
180 0.20 51.289 0.003
200 0.305 51.34 0.003
220 0.441 51.42 0.004
250 0.712 51.54 0.005
280 0.990 51.68 0.006
290 1.118 51.73 0.006
270 0.850 51.63 0.005
260 0.730 51.58 0.005
240 0.537 51.50 0.004
230 0.451 51.45 0.004
210 0.323 51.38 0.003
